LAL	3286.156802177429
HOU	2694.137971989314
DEN	2693.2945445667615
GSW	2091.9015268179087
MIL	2036.5076702342315
BKN	1960.5749882289342
SAS	1885.9929809570312
TOR	1857.017868586949
IND	1679.188346862793
BOS	1632.4599793752034
ATL	1560.6085695539202
UTA	1540.2092796053205
MIA	1476.8192150409404
ORL	1385.7466506958008
NYK	1379.4328078163994
NOP	1348.0087473392487
DAL	1335.3405539194744
POR	1257.5953850379358
SAC	1142.8866703033448
MIN	1095.4606600443522
LAC	1085.3099975585938
OKC	1077.553845332219
WAS	1053.361764122458
PHI	1044.3819046020508
CLE	1029.8084440231323
CHA	1017.5633399963378
DET	886.4306182265282
MEM	707.440002822876
PHX	564.4649958610535
CHI	547.2053029677447
