2015_p	Kobe Bryant	-5.66	6.03	16.86	35.76	2.02	7.08	28.48	3.52	4.26	82.56	2.79	3.74	0.2	0.94	1.95	-8.62	13.0	53.0
2015_p	Roy Hibbert	-3.15	2.25	5.07	44.28	0.0	0.02	0.0	1.44	1.79	80.69	1.17	4.91	1.36	0.4	0.94	-8.47	17.0	64.0
2015_p	Isaiah Canaan	-2.36	3.38	9.38	36.01	2.29	6.3	36.29	1.95	2.34	83.33	1.78	2.26	0.16	0.73	1.18	-6.29	10.0	67.0
2015_p	Louis Williams	-1.8	4.22	10.34	40.84	1.64	4.78	34.38	5.25	6.33	83.02	2.49	2.52	0.28	0.93	1.6	-6.01	14.0	53.0
2015_p	Nick Young	-1.71	2.33	6.89	33.87	1.43	4.39	32.49	1.17	1.41	82.89	0.63	1.8	0.13	0.43	0.56	-3.7	13.0	41.0
2015_p	Nik Stauskas	-1.68	2.88	7.47	38.53	1.45	4.45	32.62	1.25	1.62	77.12	1.89	2.51	0.27	0.6	1.29	-5.56	8.0	65.0
2015_p	Andrea Bargnani	-1.14	2.76	6.07	45.52	0.07	0.35	18.75	1.02	1.24	82.46	0.39	2.11	0.2	0.09	0.57	-4.15	11.0	35.0
2015_p	Sonny Weems	-1.09	0.98	2.56	38.18	0.35	0.95	36.59	0.19	0.35	53.33	1.14	1.23	0.02	0.23	0.95	-2.26	6.0	37.0
2015_p	Jerami Grant	-0.87	3.26	7.78	41.9	0.45	1.9	23.97	2.75	4.18	65.84	1.75	4.69	1.65	0.7	1.43	-6.45	9.0	68.0
2015_p	Archie Goodwin	-0.59	3.09	7.4	41.71	0.4	1.74	23.23	2.28	3.39	67.36	2.07	2.49	0.23	0.47	1.75	-3.67	14.0	43.0
