2011_p	Corey Maggette	-7.12	4.34	11.66	37.27	0.75	2.06	36.36	5.56	6.5	85.58	1.22	3.91	0.03	0.72	1.84	-8.56	6.0	26.0
2011_p	Cory Higgins	-3.81	1.37	4.21	32.5	0.11	0.53	20.0	1.11	1.58	70.0	0.95	0.92	0.16	0.13	1.03	-3.05	1.0	37.0
2011_p	null	-3.26	3.21	7.73	41.57	1.0	3.24	30.84	0.88	1.21	72.5	1.82	2.82	0.09	0.61	1.0	-7.94	3.0	30.0
2011_p	Donald Sloan	-3.09	2.39	6.0	39.9	0.06	0.76	8.0	0.7	0.91	76.67	3.18	2.03	0.09	0.39	1.48	-7.24	10.0	23.0
2011_p	Tyrus Thomas	-2.79	2.22	6.06	36.7	0.02	0.06	33.33	1.17	1.54	75.9	0.65	3.7	1.11	0.67	0.98	-5.54	5.0	49.0
2011_p	Rashard Lewis	-2.76	3.04	7.89	38.46	0.57	2.39	23.88	1.11	1.32	83.78	0.96	3.89	0.36	0.82	1.14	-5.57	6.0	22.0
2011_p	Kemba Walker	-2.41	4.26	11.62	36.64	1.05	3.42	30.53	2.55	3.23	78.87	4.38	3.55	0.3	0.91	1.8	-7.65	7.0	59.0
2011_p	Matt Carroll	-2.37	0.98	2.96	33.12	0.15	0.81	18.6	0.57	0.72	78.95	0.72	1.09	0.13	0.3	0.45	-2.87	4.0	49.0
2011_p	null	-2.34	6.04	13.15	45.92	0.2	0.85	23.4	2.82	3.71	75.98	2.29	4.09	0.36	0.89	1.82	-8.95	6.0	49.0
2011_p	Jonny Flynn	-1.93	1.59	4.52	35.11	0.34	1.17	29.41	1.0	1.34	74.36	3.31	1.34	0.07	0.21	1.24	-4.52	11.0	18.0
