2012_p	Hakim Warrick	-2.91	2.39	5.89	40.61	0.0	0.11	0.0	2.14	3.14	68.18	0.89	3.18	0.21	0.46	1.04	-4.82	6.0	22.0
2012_p	Ben Gordon	-2.62	4.13	10.13	40.79	1.51	3.89	38.7	1.43	1.69	84.25	1.88	1.73	0.21	0.47	1.81	-5.71	19.0	56.0
2012_p	Xavier Henry	-1.92	1.32	3.22	40.99	0.08	0.22	36.36	1.16	1.84	63.04	0.26	1.8	0.1	0.32	0.62	-2.86	16.0	34.0
2012_p	Daniel Gibson	-1.76	1.83	5.37	34.01	1.22	3.54	34.36	0.57	0.8	70.27	1.78	1.3	0.09	0.65	0.67	-4.41	11.0	35.0
2012_p	Ramon Sessions	-1.1	4.52	11.08	40.83	0.54	1.75	30.84	4.77	5.69	83.86	3.77	2.77	0.11	0.79	1.7	-6.21	13.0	48.0
2012_p	James Johnson	-1.06	2.17	5.24	41.34	0.04	0.39	9.52	0.74	1.24	59.7	1.07	2.69	0.93	0.76	1.26	-5.19	17.0	37.0
2012_p	DeQuan Jones	-0.85	1.51	3.46	43.58	0.14	0.56	25.71	0.54	0.81	66.67	0.25	1.67	0.35	0.3	0.48	-2.84	14.0	49.0
2012_p	Kendall Marshall	-0.68	1.17	3.15	37.09	0.48	1.52	31.51	0.17	0.29	57.14	2.98	0.88	0.08	0.46	1.19	-3.88	12.0	36.0
2012_p	Wesley Johnson	-0.56	3.22	7.92	40.66	1.0	3.1	32.26	0.54	0.7	77.14	0.68	2.46	0.36	0.44	0.96	-4.62	14.0	36.0
2012_p	Doron Lamb	-0.54	1.28	3.47	36.81	0.3	0.79	37.84	0.43	0.72	58.82	0.68	0.98	0.0	0.28	0.55	-1.77	16.0	31.0
